Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,12-Aug-15,2604.2,2603.1,2691.4,2602,2670,2671.7,2658.48,1739892,4625460143,116770,1317431,75.72
TCS,EQ,13-Aug-15,2671.7,2670,2684,2556,2638.35,2635.6,2652.19,703213,1865057138,47820,460590,65.5
TCS,EQ,14-Aug-15,2635.6,2638,2719.35,2637.1,2692.05,2703.2,2688.81,1146982,3084016067,82195,766818,66.86
TCS,EQ,17-Aug-15,2703.2,2690.1,2696.8,2655,2685.9,2684.75,2673.6,386822,1034207797,30502,206955,53.5
TCS,EQ,18-Aug-15,2684.75,2706.9,2749.9,2690,2745.95,2740.9,2736.66,958463,2622984633,100314,623865,65.09
TCS,EQ,19-Aug-15,2740.9,2750,2752.85,2721.9,2727,2733.6,2739.06,845035,2314600374,90389,588336,69.62
TCS,EQ,20-Aug-15,2733.6,2745,2745,2672,2686.5,2686.85,2702.74,1174649,3174771771,105196,842334,71.71
TCS,EQ,21-Aug-15,2686.85,2712,2729.9,2655.1,2671,2676.15,2684.3,1768040,4745943361,113746,1315006,74.38
TCS,EQ,24-Aug-15,2676.15,2639,2645,2569.1,2586,2578.65,2599.95,2346172,6099928318,98288,1766434,75.29
TCS,EQ,25-Aug-15,2578.65,2587.9,2622,2535.5,2564.8,2567.15,2574.64,1962900,5053751285,90437,1340952,68.31
TCS,EQ,26-Aug-15,2567.15,2558.05,2639,2511.95,2579.8,2576.75,2591.93,1608079,4168033295,92978,1139025,70.83
TCS,EQ,27-Aug-15,2576.75,2614.9,2614.9,2545.8,2567,2574.65,2572.91,2632399,6772916406,126702,2065390,78.46
TCS,EQ,28-Aug-15,2574.65,2609,2609,2557.7,2563.1,2570.85,2581.92,1372076,3542585119,102566,1063723,77.53
TCS,EQ,31-Aug-15,2570.85,2590,2590,2531.05,2575,2564.05,2566.03,1846022,4736944519,109961,1434044,77.68
TCS,EQ,1-Sep-15,2564.05,2556,2611.2,2530,2533.2,2537.4,2574.5,1493801,3845789531,96695,981661,65.72
TCS,EQ,2-Sep-15,2537.4,2559.7,2620.45,2548,2600,2591.8,2595.11,1882975,4886522945,114103,1263275,67.09
TCS,EQ,3-Sep-15,2591.8,2596.1,2615,2576.25,2606,2605.6,2594.76,1132537,2938659690,91703,745864,65.86
TCS,EQ,4-Sep-15,2605.6,2611.4,2614.9,2539.15,2544,2547.45,2568.96,1213198,3116651985,124154,800848,66.01
TCS,EQ,7-Sep-15,2547.45,2553,2559.95,2532.7,2539.6,2539.75,2546.5,879592,2239883160,73248,638480,72.59
TCS,EQ,8-Sep-15,2539.75,2545,2564.1,2523.5,2540.3,2540.3,2540.52,893873,2270899931,64944,616912,69.02
TCS,EQ,9-Sep-15,2540.3,2562.95,2574,2544,2551,2549.75,2558.04,1022538,2615692014,62654,625155,61.14
TCS,EQ,10-Sep-15,2549.75,2542,2578.5,2527,2550,2545.4,2553.83,1332909,3404019638,96715,916263,68.74
TCS,EQ,11-Sep-15,2545.4,2546.5,2568.4,2540.6,2549.8,2552,2553.59,796336,2033516638,60997,560414,70.37
